timestamp,pm10,pm25
2024-01-01T01:00:50+01:00,178.43,126.68
2024-01-01T01:03:16+01:00,197.48,140.77
2024-01-01T01:05:42+01:00,202.8,144.57
2024-01-01T01:08:08+01:00,208.68,144.75
2024-01-01T01:10:34+01:00,193.05,138.6
2024-01-01T01:13:00+01:00,183.8,130.82
2024-01-01T01:15:26+01:00,226.05,157.5
2024-01-01T01:17:52+01:00,193.27,136.23
2024-01-01T01:20:18+01:00,190.32,136.77
2024-01-01T01:22:45+01:00,194.7,137.38
2024-01-01T01:25:13+01:00,246.63,174.88
2024-01-01T01:27:39+01:00,261.38,181.75
2024-01-01T01:30:05+01:00,217.52,151.68
2024-01-01T01:32:31+01:00,225.65,155.68
2024-01-01T01:34:57+01:00,262.52,183.27
2024-01-01T01:37:24+01:00,214.75,151.15
2024-01-01T01:39:50+01:00,222.38,155.52
2024-01-01T01:42:16+01:00,206.8,143.5
2024-01-01T01:44:43+01:00,235.15,161.15
2024-01-01T01:47:10+01:00,234.25,165.55
2024-01-01T01:49:36+01:00,221.7,152.75
2024-01-01T01:52:02+01:00,217.32,148.73
2024-01-01T01:54:28+01:00,246.9,169.82
2024-01-01T01:56:54+01:00,251.38,172.68
2024-01-01T01:59:23+01:00,232.45,159.63
2024-01-01T02:01:50+01:00,231.7,157.0
2024-01-01T02:04:16+01:00,212.35,148.13
2024-01-01T02:06:42+01:00,198.9,132.75
2024-01-01T02:09:10+01:00,181.45,125.2
2024-01-01T02:11:36+01:00,193.43,131.7
2024-01-01T02:14:03+01:00,188.1,130.65
2024-01-01T02:16:29+01:00,213.88,148.52
2024-01-01T02:18:55+01:00,210.07,142.48
2024-01-01T02:21:21+01:00,338.88,225.98
2024-01-01T02:23:47+01:00,334.98,216.1
2024-01-01T02:26:14+01:00,323.08,218.38
2024-01-01T02:28:40+01:00,308.65,208.3
2024-01-01T02:31:06+01:00,291.73,192.73
2024-01-01T02:33:32+01:00,258.73,175.98
2024-01-01T02:35:58+01:00,305.6,213.38
2024-01-01T02:38:26+01:00,310.52,223.23
2024-01-01T02:40:52+01:00,325.2,225.1
2024-01-01T02:43:20+01:00,339.58,237.23
2024-01-01T02:45:46+01:00,331.1,230.73
2024-01-01T02:48:13+01:00,326.38,228.63
2024-01-01T02:50:40+01:00,333.25,235.43
2024-01-01T02:53:06+01:00,330.38,234.35
2024-01-01T02:55:32+01:00,324.48,225.98
2024-01-01T02:57:58+01:00,298.0,214.4
2024-01-01T03:00:24+01:00,302.85,212.93
2024-01-01T03:02:51+01:00,298.65,211.0
2024-01-01T03:05:18+01:00,309.2,223.02
2024-01-01T03:07:44+01:00,297.92,212.7
2024-01-01T03:10:11+01:00,311.45,228.1
2024-01-01T03:12:37+01:00,315.7,224.9
2024-01-01T03:15:03+01:00,304.35,219.8
2024-01-01T03:17:30+01:00,311.17,220.75
2024-01-01T03:19:56+01:00,380.25,265.17
2024-01-01T03:22:22+01:00,319.55,222.2
2024-01-01T03:24:48+01:00,310.88,220.82
2024-01-01T03:27:15+01:00,327.35,229.6
2024-01-01T03:29:41+01:00,308.9,215.82
2024-01-01T03:32:07+01:00,274.33,196.5
2024-01-01T03:34:33+01:00,385.35,268.13
2024-01-01T03:36:59+01:00,286.6,203.15
2024-01-01T03:39:25+01:00,301.23,212.1
2024-01-01T03:41:51+01:00,309.65,221.9
2024-01-01T03:44:17+01:00,317.7,219.27
2024-01-01T03:46:43+01:00,406.33,285.5
2024-01-01T03:49:09+01:00,342.73,242.93
2024-01-01T03:51:35+01:00,344.77,245.5
2024-01-01T03:54:01+01:00,295.13,212.63
2024-01-01T03:56:28+01:00,287.02,206.32
2024-01-01T03:58:54+01:00,274.77,191.1
2024-01-01T04:01:20+01:00,274.92,197.05
2024-01-01T04:03:47+01:00,249.98,174.52
2024-01-01T04:06:16+01:00,256.58,181.2
2024-01-01T04:08:42+01:00,297.02,203.5
2024-01-01T04:11:08+01:00,281.27,197.18
2024-01-01T04:13:34+01:00,291.9,204.07
2024-01-01T04:16:00+01:00,285.77,193.05
2024-01-01T04:18:27+01:00,247.35,171.02
2024-01-01T04:20:53+01:00,249.88,169.27
2024-01-01T04:23:20+01:00,259.63,178.15
2024-01-01T04:25:46+01:00,255.13,171.43
2024-01-01T04:28:12+01:00,245.05,167.57
2024-01-01T04:30:38+01:00,236.85,162.57
2024-01-01T04:33:04+01:00,249.65,172.95
2024-01-01T04:35:30+01:00,253.65,176.65
2024-01-01T04:37:59+01:00,248.82,174.1
2024-01-01T04:40:25+01:00,244.63,168.8
2024-01-01T04:42:51+01:00,262.7,178.15
2024-01-01T04:45:17+01:00,241.32,164.93
2024-01-01T04:47:43+01:00,235.77,160.82
2024-01-01T04:50:09+01:00,224.27,158.0
2024-01-01T04:52:35+01:00,253.07,175.68
2024-01-01T04:55:02+01:00,248.52,171.6
2024-01-01T04:57:29+01:00,242.48,163.57
2024-01-01T04:59:57+01:00,237.75,162.55
2024-01-01T05:02:23+01:00,325.0,222.52
2024-01-01T05:04:49+01:00,295.08,209.35
2024-01-01T05:07:15+01:00,335.48,235.88
2024-01-01T05:09:43+01:00,312.77,223.13
2024-01-01T05:12:09+01:00,358.88,247.48
2024-01-01T05:14:35+01:00,314.45,223.15
2024-01-01T05:17:02+01:00,347.98,241.35
2024-01-01T05:19:31+01:00,319.8,221.2
2024-01-01T05:21:57+01:00,226.98,153.6
2024-01-01T05:24:23+01:00,255.23,173.6
2024-01-01T05:26:49+01:00,256.45,185.8
2024-01-01T05:29:15+01:00,148.45,63.13
2024-01-01T05:31:41+01:00,248.18,170.23
2024-01-01T05:34:07+01:00,228.2,160.02
2024-01-01T05:36:33+01:00,247.0,167.27
2024-01-01T05:38:59+01:00,208.02,147.23
2024-01-01T05:41:28+01:00,158.95,114.55
2024-01-01T05:43:54+01:00,191.68,131.98
2024-01-01T05:46:20+01:00,202.13,141.73
2024-01-01T05:48:47+01:00,220.38,148.93
2024-01-01T05:51:13+01:00,210.88,137.93
2024-01-01T05:53:39+01:00,213.18,146.07
2024-01-01T05:56:05+01:00,230.88,155.82
2024-01-01T05:58:32+01:00,211.77,143.7
2024-01-01T06:00:59+01:00,213.82,144.63
2024-01-01T06:03:25+01:00,255.63,167.8
2024-01-01T06:05:51+01:00,314.05,210.32
2024-01-01T06:08:17+01:00,250.7,170.6
2024-01-01T06:10:43+01:00,220.55,142.25
2024-01-01T06:13:09+01:00,187.38,131.0
2024-01-01T06:15:35+01:00,180.8,125.0
2024-01-01T06:18:03+01:00,183.3,124.22
2024-01-01T06:20:29+01:00,190.9,128.7
2024-01-01T06:22:55+01:00,171.93,122.28
2024-01-01T06:25:22+01:00,167.98,115.1
2024-01-01T06:27:48+01:00,193.68,124.6
2024-01-01T06:30:14+01:00,179.57,114.72
2024-01-01T06:32:40+01:00,178.2,112.82
2024-01-01T06:35:06+01:00,168.27,115.43
2024-01-01T06:37:33+01:00,199.43,128.45
2024-01-01T06:39:59+01:00,169.4,113.38
2024-01-01T06:42:25+01:00,110.25,43.45
2024-01-01T06:44:51+01:00,158.27,102.85
2024-01-01T06:47:17+01:00,143.02,97.5
2024-01-01T06:49:43+01:00,174.15,114.4
2024-01-01T06:52:09+01:00,178.8,116.6
2024-01-01T06:54:35+01:00,190.02,125.6
2024-01-01T06:57:02+01:00,198.63,128.88
2024-01-01T06:59:28+01:00,182.2,120.15
2024-01-01T07:01:54+01:00,186.05,122.3
2024-01-01T07:04:20+01:00,204.57,130.75
2024-01-01T07:06:46+01:00,190.4,125.45
2024-01-01T07:09:12+01:00,183.93,127.43
2024-01-01T07:11:38+01:00,185.9,119.88
2024-01-01T07:14:04+01:00,187.45,126.18
2024-01-01T07:16:30+01:00,189.1,125.53
